income_re,outcome4
0,.0703855
2.4331587,.06137725
6.8634447,.05648369
11.85415,.05238095
16.271983,.06942149
20.305693,.06429125
24.455112,.06629393
28.653497,.06109325
32.406526,.0651341
36.478005,.06044325
39.968486,.05779817
43.464049,.07109005
46.993051,.05685921
50.49476,.06051154
53.94374,.06342669
56.898226,.07432432
59.982921,.07032457
62.99322,.07281858
65.394828,.05561735
68.018685,.06315007
70.942113,.06584362
73.474834,.07582938
76.007776,.07639836
78.905627,.06339031
81.489941,.07829534
83.981657,.0776699
86.935819,.0758988
89.466598,.0840249
91.91987,.08453757
94.943419,.0990502
97.915623,.08724832
100.47813,.08768473
102.88962,.11570827
105.85693,.10767947
108.96307,.08571429
111.95814,.11136713
114.96149,.09304207
117.92536,.10418251
120.92942,.12769629
123.9357,.12699681
127.01505,.11144807
129.87578,.13233458
133.37407,.12897196
141.068,.1645283
146.01946,.18607955
151.04957,.19876257
155.88175,.17836499
161.43438,.18714859
167.48838,.18978723
173.92383,.20703125
181.86985,.20588235
190.73887,.19971264
199.90668,.21914358
212.12969,.22713178
227.04834,.27786753
245.45081,.2745553
276.41704,.25633154
424.08553,.27145086
