="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="mc_matage",="mc_white",="mc_matblack",="mc_matasian",="mc_mathisp",="mc_mat_otherrace",="mc_bornoutsideus",="mc_mat_hs",="mc_mat_coll",="mc_mat_married",="mc_pnv",="mc_firstcare_firsttrim",="mc_chronic",="mc_preterm",="mc_complications",="mc_csec"
="",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p"
="treated",="-0.43***",="0.00",="0.01*",="-0.00",="-0.00",="0.00***",="-0.04***",="0.02***",="0.04***",="-0.02***",="0.02",="-0.03***",="-0.01**",="0.00",="-0.00",="0.01"
="",="[-0.55,-0.31]",="[-0.01,0.01]",="[0.00,0.01]",="[-0.01,0.00]",="[-0.01,0.01]",="[0.00,0.00]",="[-0.05,-0.03]",="[0.01,0.03]",="[0.03,0.05]",="[-0.03,-0.01]",="[-0.06,0.11]",="[-0.03,-0.02]",="[-0.02,-0.00]",="[-0.00,0.01]",="[-0.01,0.00]",="[-0.00,0.02]"
="",="(0.000)",="(0.614)",="(0.028)",="(0.093)",="(0.524)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.603)",="(0.000)",="(0.009)",="(0.529)",="(0.356)",="(0.106)"
="centered",="0.00***",="0.00*",="-0.00***",="0.00*",="-0.00***",="-0.00***",="0.00***",="0.00***",="0.00***",="0.00***",="0.00*",="0.00***",="-0.00",="-0.00***",="-0.00",="-0.00*"
="",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.00,0.00]",="[-0.00,-0.00]"
="",="(0.000)",="(0.021)",="(0.000)",="(0.018)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.018)",="(0.000)",="(0.494)",="(0.000)",="(0.858)",="(0.040)"
="quad",="-0.00***",="-0.00",="0.00***",="-0.00",="0.00",="-0.00***",="-0.00***",="-0.00***",="0.00***",="-0.00***",="-0.00***",="-0.00***",="-0.00***",="-0.00",="0.00",="0.00***"
="",="[-0.00,-0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[0.00,0.00]"
="",="(0.000)",="(0.993)",="(0.000)",="(0.319)",="(0.517)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.753)",="(0.114)",="(0.001)"
="cub",="0.00***",="-0.00",="-0.00***",="0.00",="0.00",="0.00***",="0.00***",="0.00*",="-0.00***",="0.00***",="0.00***",="0.00***",="0.00*",="0.00",="-0.00*",="-0.00**"
="",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]"
="",="(0.000)",="(0.731)",="(0.000)",="(0.257)",="(0.653)",="(0.000)",="(0.000)",="(0.014)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.013)",="(0.097)",="(0.047)",="(0.005)"
="mc_white",="0.08",="",="-0.42***",="-0.21***",="-0.22***",="-1.00***",="-0.06***",="0.00",="-0.01*",="0.07***",="0.63***",="0.00",="-0.02***",="0.00",="-0.01***",="-0.01*"
