="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap"
="",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p"
="treated",="0.02*",="0.02***",="-0.03***",="-1.62***",="0.03***",="0.04**",="0.01*",="0.04",="0.03**",="0.03***",="0.01*"
="",="[0.00,0.03]",="[0.01,0.03]",="[-0.05,-0.02]",="[-1.80,-1.43]",="[0.01,0.04]",="[0.02,0.07]",="[0.00,0.02]",="[-0.00,0.08]",="[0.01,0.06]",="[0.02,0.05]",="[0.00,0.02]"
="",="(0.015)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.047)",="(0.066)",="(0.003)",="(0.000)",="(0.030)"
="centered",="0.00**",="0.00***",="-0.00***",="0.03***",="0.00***",="0.00***",="0.00***",="0.00***",="0.00***",="0.00***",="0.00***"
="",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[0.03,0.04]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]"
="",="(0.008)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.000)",="(0.000)",="(0.000)"
="quad",="0.00",="0.00",="-0.00",="0.00***",="0.00",="0.00",="0.00*",="0.00",="0.00",="0.00",="0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.716)",="(0.086)",="(0.131)",="(0.000)",="(0.110)",="(0.071)",="(0.048)",="(0.067)",="(0.173)",="(0.137)",="(0.059)"
="cub",="-0.00",="0.00",="0.00",="0.00***",="0.00",="0.00",="0.00",="0.00",="-0.00",="-0.00",="0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.426)",="(0.501)",="(0.965)",="(0.000)",="(0.973)",="(0.767)",="(0.265)",="(0.287)",="(0.955)",="(0.960)",="(0.307)"
="lin_inter",="-0.00",="-0.00",="0.00",="-0.04***",="-0.00",="-0.00",="-0.00",="0.00",="-0.00",="-0.00",="-0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.05,-0.03]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.322)",="(0.839)",="(0.230)",="(0.000)",="(0.165)",="(0.192)",="(0.892)",="(0.869)",="(0.144)",="(0.242)",="(0.917)"
="quad_inter",="-0.00",="-0.00*",="0.00*",="-0.00***",="-0.00*",="-0.00*",="-0.00**",="-0.00**",="-0.00",="-0.00*",="-0.00**"
="",="[-0.00,0.00]",="[-0.00,-0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]"
="",="(0.572)",="(0.014)",="(0.039)",="(0.000)",="(0.031)",="(0.014)",="(0.005)",="(0.006)",="(0.072)",="(0.042)",="(0.007)"
="cub_inter",="0.00",="-0.00",="-0.00",="-0.00***",="0.00",="-0.00",="-0.00",="-0.00",="0.00",="0.00",="-0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.415)",="(0.597)",="(0.894)",="(0.000)",="(0.952)",="(0.860)",="(0.350)",="(0.389)",="(0.898)",="(0.890)",="(0.399)"
="_cons",="0.09***",="0.04***",="0.87***",="10.58***",="0.14***",="0.21***",="0.04***",="0.14***",="0.17***",="0.13***",="0.04***"
="",="[0.08,0.10]",="[0.04,0.05]",="[0.86,0.88]",="[10.43,10.73]",="[0.13,0.15]",="[0.19,0.23]",="[0.03,0.04]",="[0.12,0.17]",="[0.16,0.19]",="[0.12,0.14]",="[0.03,0.04]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="N",="130029",="130029",="130029",="130029",="130029",="130029",="130029",="130029",="130029",="130029",="130029"
