="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)"
="",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap",="out_12durcomm",="out_13durmdcd",="out_14durnone",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap",="out_12durcomm",="out_13durmdcd",="out_14durnone",="out_14durany",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap",="out_12durcomm",="out_13durmdcd",="out_14durnone",="out_14durany",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap",="out_12durcomm",="out_13durmdcd",="out_14durnone",="out_14durany"
="",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p"
="RD_Estimate",="0.01",="0.02***",="-0.03**",="-1.22***",="0.06***",="0.07",="0.01",="0.06*",="0.03*",="0.03**",="0.01**",="0.34**",="-1.21***",="0.91***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="[-0.01,0.03]",="[0.01,0.04]",="[-0.05,-0.01]",="[-1.53,-0.91]",="[0.03,0.09]",="[-0.00,0.14]",="[-0.00,0.02]",="[0.01,0.11]",="[0.00,0.06]",="[0.01,0.05]",="[0.00,0.02]",="[0.11,0.57]",="[-1.52,-0.90]",="[0.49,1.33]",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.215)",="(0.000)",="(0.003)",="(0.000)",="(0.000)",="(0.068)",="(0.095)",="(0.019)",="(0.036)",="(0.003)",="(0.008)",="(0.004)",="(0.000)",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="treated",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.03***",="0.04***",="-0.06***",="-1.36***",="0.16***",="0.33***",="0.03***",="0.13***",="0.07***",="0.06***",="0.03***",="0.57***",="-1.93***",="0.74***",="-1.36***",="0.02***",="0.02***",="-0.04***",="-1.54***",="0.12***",="0.22***",="0.02***",="0.08***",="0.04***",="0.04***",="0.02***",="0.47***",="-2.01***",="1.13***",="-1.54***",="0.02*",="0.02***",="-0.04***",="-1.35***",="0.09***",="0.16***",="0.01*",="0.06*",="0.03*",="0.04***",="0.01*",="0.44***",="-1.78***",="1.01***",="-1.35***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="[0.02,0.04]",="[0.03,0.04]",="[-0.07,-0.05]",="[-1.48,-1.25]",="[0.15,0.17]",="[0.30,0.36]",="[0.02,0.03]",="[0.10,0.16]",="[0.06,0.09]",="[0.05,0.07]",="[0.02,0.03]",="[0.49,0.65]",="[-2.06,-1.80]",="[0.57,0.91]",="[-1.48,-1.25]",="[0.01,0.03]",="[0.02,0.03]",="[-0.06,-0.03]",="[-1.69,-1.39]",="[0.10,0.13]",="[0.18,0.26]",="[0.01,0.02]",="[0.04,0.11]",="[0.02,0.06]",="[0.03,0.06]",="[0.01,0.02]",="[0.36,0.58]",="[-2.19,-1.83]",="[0.89,1.36]",="[-1.69,-1.39]",="[0.00,0.03]",="[0.01,0.03]",="[-0.06,-0.02]",="[-1.55,-1.14]",="[0.07,0.11]",="[0.11,0.21]",="[0.00,0.02]",="[0.01,0.11]",="[0.01,0.06]",="[0.02,0.05]",="[0.00,0.02]",="[0.29,0.58]",="[-2.02,-1.55]",="[0.69,1.32]",="[-1.55,-1.14]"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.040)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.041)",="(0.017)",="(0.015)",="(0.000)",="(0.027)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="centered",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00***",="0.00***",="-0.00***",="-0.00***",="0.00***",="0.00***",="0.00***",="0.00***",="0.00***",="0.00***",="0.00***",="0.00***",="-0.01***",="-0.00***",="-0.00***",="0.00***",="0.00***",="-0.00***",="0.01***",="0.00***",="0.00***",="0.00***",="0.00***",="0.00***",="0.00***",="0.00***",="0.00***",="0.01**",="-0.02***",="0.01***",="0.00",="0.00",="-0.00*",="0.01",="0.00***",="0.00**",="0.00",="0.00",="0.00*",="0.00*",="0.00",="0.00",="0.00",="-0.02*",="0.01"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.01,-0.01]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[0.01,0.02]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.01]",="[0.00,0.01]",="[-0.03,-0.02]",="[0.01,0.02]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.01,0.02]",="[0.00,0.00]",="[0.00,0.01]",="[-0.00,0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.01]",="[-0.01,0.01]",="[-0.03,-0.00]",="[-0.01,0.02]"
