="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)"
="",="",="",="",="",="",="",="",="",=""
="",="b",="se",="b",="se",="b",="se",="b",="se",="p"
="mc_matage",="27.20",="0.02",="28.35",="0.05",="27.99",="0.05",="28.22",="0.07",="(0.010)"
="mc_white",="74.00",="0.18",="77.12",="0.37",="75.53",="0.41",="76.41",="0.54",="(0.199)"
="mc_matblack",="8.60",="0.11",="6.44",="0.22",="6.35",="0.23",="6.06",="0.30",="(0.447)"
="mc_matasian",="2.91",="0.07",="4.43",="0.18",="4.22",="0.19",="4.38",="0.26",="(0.609)"
="mc_mathisp",="49.60",="0.20",="41.73",="0.44",="50.00",="0.48",="46.19",="0.63",="(0.000)"
="mc_mat_otherrace",="14.49",="0.14",="12.01",="0.29",="13.90",="0.33",="13.16",="0.43",="(0.169)"
="mc_bornoutsideus",="29.32",="0.18",="30.82",="0.41",="36.56",="0.46",="35.05",="0.61",="(0.047)"
="mc_mat_hs",="76.34",="0.17",="86.06",="0.31",="79.16",="0.39",="83.75",="0.47",="(0.000)"
="mc_mat_coll",="16.54",="0.15",="29.78",="0.41",="19.64",="0.38",="26.12",="0.56",="(0.000)"
="mc_mat_married",="54.44",="0.20",="77.19",="0.37",="70.91",="0.43",="75.81",="0.54",="(0.000)"
="mc_pnv",="10.42",="0.02",="10.87",="0.03",="10.81",="0.04",="10.83",="0.05",="(0.785)"
="mc_firstcare_firsttrim",="71.16",="0.18",="77.39",="0.37",="77.03",="0.40",="77.19",="0.53",="(0.803)"
="mc_chronic",="27.91",="0.18",="26.56",="0.39",="28.30",="0.43",="26.96",="0.56",="(0.059)"
="mc_preterm",="11.29",="0.13",="8.71",="0.25",="9.85",="0.28",="9.15",="0.37",="(0.129)"
="mc_complications",="12.95",="0.14",="12.84",="0.30",="13.28",="0.32",="13.16",="0.43",="(0.815)"
="mc_csec",="24.81",="0.17",="24.41",="0.38",="24.27",="0.41",="24.43",="0.55",="(0.816)"
="N",="61016",="",="12728",="",="10983",="",="6209",="",="17192"
