="",="(1)",="",="(2)",=""
="",="",="",="",=""
="",="b",="se",="b",="se"
="out_1anycomm",="0.05",="0.00",="0.11",="0.00"
="out_2anymarket",="0.01",="0.00",="0.08",="0.00"
="out_3onlymed",="0.94",="0.00",="0.81",="0.00"
="out_4enroldur",="10.39",="0.02",="8.75",="0.05"
="out_5disrupt",="0.07",="0.00",="0.19",="0.00"
="out_6countdisrupt",="0.10",="0.00",="0.30",="0.01"
="out_7countgaps",="0.02",="0.00",="0.06",="0.00"
="out_8gapdur",="0.06",="0.00",="0.26",="0.01"
="out_9countswitch",="0.09",="0.00",="0.23",="0.01"
="out_10anyswitch",="0.06",="0.00",="0.18",="0.00"
="out_11anygap",="0.02",="0.00",="0.06",="0.00"
="N",="50177",="",="10261",=""
