="",="(1)",="",="(2)",=""
="",="",="",="",=""
="",="b",="se",="b",="se"
="out_1anycomm",="0.06",="(0.00)",="0.07",="(0.00)"
="out_2anymarket",="0.01",="(0.00)",="0.03",="(0.00)"
="out_3onlymed",="0.92",="(0.00)",="0.90",="(0.00)"
="out_4enroldur",="11.06",="(0.01)",="9.96",="(0.02)"
="out_5disrupt",="0.09",="(0.00)",="0.11",="(0.00)"
="out_6countdisrupt",="0.12",="(0.00)",="0.16",="(0.00)"
="out_7countgaps",="0.02",="(0.00)",="0.03",="(0.00)"
="out_8gapdur",="0.07",="(0.00)",="0.11",="(0.00)"
="out_9countswitch",="0.11",="(0.00)",="0.13",="(0.00)"
="out_10anyswitch",="0.08",="(0.00)",="0.10",="(0.00)"
="out_11anygap",="0.02",="(0.00)",="0.03",="(0.00)"
="N",="52398",="",="73102",=""
