="",="(1)",="",="",="(2)",="",="",="(3)"
="",="",="",="",="",="",="",=""
="",="sum",="mean",="Var",="sum",="mean",="Var",="p"
="age1",="45",="0.0010",="0.0010",="0",="0.0000",="0.0000",="0.0000"
="mc_matasian",="41",="0.0010",="0.0010",="0",="0.0000",="0.0000",="0.0000"
="mc_white",="41",="0.0010",="0.0010",="0",="0.0000",="0.0000",="0.0000"
="mc_matblack",="41",="0.0010",="0.0010",="0",="0.0000",="0.0000",="0.0000"
="mc_mat_otherrace",="41",="0.0010",="0.0010",="0",="0.0000",="0.0000",="0.0000"
="mc_mathisp",="41",="0.0010",="0.0010",="0",="0.0000",="0.0000",="0.0000"
="mc_bornoutsideus",="41",="0.0010",="0.0010",="0",="0.0000",="0.0000",="0.0000"
="mc_mat_married",="41",="0.0010",="0.0010",="0",="0.0000",="0.0000",="0.0000"
="mc_mat_hs",="41",="0.0010",="0.0010",="0",="0.0000",="0.0000",="0.0000"
="mc_mat_coll",="41",="0.0010",="0.0010",="0",="0.0000",="0.0000",="0.0000"
="mc_chronic",="41",="0.0010",="0.0010",="0",="0.0000",="0.0000",="0.0000"
="mc_pnv",="1640",="0.0381",="0.0367",="28",="0.0189",="0.0185",="0.0000"
="mc_firstcare_firsttrim",="41",="0.0010",="0.0010",="0",="0.0000",="0.0000",="0.0000"
="mc_complications",="41",="0.0010",="0.0010",="0",="0.0000",="0.0000",="0.0000"
="mc_csec",="41",="0.0010",="0.0010",="0",="0.0000",="0.0000",="0.0000"
="income",="430",="0.0100",="0.0099",="22",="0.0148",="0.0146",="0.1279"
="N",="42989",="",="",="1482",="",="",="44471"
