="",="(1)",="",="",="(2)",="",="",="(3)",=""
="",="",="",="",="",="",="",="",=""
="",="b",="lb",="ub",="b",="lb",="ub",="b",="p"
="ho_prev",="0.0402",="0.0378",="0.0426",="0.1770",="0.1089",="0.2451",="-0.1368",="0.0001"
="ho_ed",="0.6199",="0.6056",="0.6343",="0.4743",="0.3978",="0.5509",="0.1456",="0.0003"
="ho_ip",="0.0312",="0.0290",="0.0334",="0.0309",="0.0169",="0.0449",="0.0003",="0.9669"
="bin_ho_prev",="3.0484",="2.8866",="3.2101",="5.3289",="4.1985",="6.4594",="-2.2806",="0.0001"
="bin_ho_ed",="28.6613",="28.2359",="29.0867",="21.3816",="19.3181",="23.4450",="7.2797",="0.0000"
="bin_ho_ip",="2.4954",="2.3486",="2.6421",="1.9737",="1.2736",="2.6737",="0.5217",="0.1527"
="tc",="9609.8302",="9024.3777",="10195.2828",="17263.3973",="13181.2967",="21345.4980",="-7653.5671",="0.0003"
="p_tc_prev",="416.7040",="365.6231",="467.7848",="268.1645",="173.6565",="362.6725",="148.5395",="0.0069"
="p_tc_ed",="6752.6204",="5727.1361",="7778.1047",="19683.6345",="12266.3075",="27100.9614",="-12931.0140",="0.0008"
="p_tc_ip",="88437.6124",="75398.2629",="101476.9618",="173708.1972",="70667.5231",="276748.8713",="-85270.5848",="0.1037"
="oop",="34.2361",="25.0025",="43.4697",="1998.5741",="1511.7510",="2485.3971",="-1964.3380",="0.0000"
="p_oop_prev",="0.5339",="0.3775",="0.6903",="14.7381",="1.4596",="28.0166",="-14.2042",="0.0364"
="p_oop_ed",="16.5376",="8.6135",="24.4617",="2285.8583",="1378.1659",="3193.5506",="-2269.3207",="0.0000"
="p_oop_ip",="175.8368",="73.1032",="278.5703",="9046.2639",="1635.5132",="16457.0147",="-8870.4272",="0.0207"
="N",="43400",="",="",="1520",="",="",="44920",=""
